treatment,comp,plot_id,year,inv_date,timestep,tree_id,Status_raw,Species_raw,dbh_cm,tph,ba_m2ha,time_increment_yr,dbh_delta_cm,dbh_increment_cm/yr,start_year,end_year,species,status,Remove flag,PFT,Outlier,DBH_BA,Treatment,PFT_simple
control,590,0590-00115,2003,2003-06-01,post_1,0590-00115-23,Live,QUKE,74.9,24.69135802,10.8792384,2.0,0.0,0.0,2001.0,2003,QUKE,Live,0,deciduous_oak,0,74.9,None,oak
mechburn,570,0570-00023,2003,2003-06-01,post_1,0570-00023-30,Live,QUKE,59.7,24.69135802,6.911678371,2.0,1.3000000000000045,0.6500000000000021,2001.0,2003,QUKE,Live,0,deciduous_oak,0,59.7,Burn+Thin,oak
control,40,0040-00108,2003,2003-06-01,post_1,0040-00108-1,Live,QUKE,13.2,24.69135802,0.337895743,2.0,0.5,0.25,2001.0,2003,QUKE,Live,0,deciduous_oak,0,13.2,None,oak
mech,350,0350-00111,2003,2003-06-01,post_1,0350-00111-5,Live,QUKE,45.7,24.69135802,4.050114099,2.0,1.2000000000000028,0.6000000000000014,2001.0,2003,QUKE,Live,0,deciduous_oak,0,45.7,Thin,oak
burn,340,0340-00024,2003,2003-06-01,post_1,0340-00024-30,Snag,QUKE,26.9,24.69135802,1.403264111,2.0,0.5,0.25,2001.0,2003,QUKE,Snag,0,deciduous_oak,0,26.9,Burn,oak
control,40,0040-00116,2003,2003-06-01,post_1,0040-00116-12,Live,QUKE,38.4,24.69135802,2.859547446,2.0,0.2999999999999971,0.1499999999999985,2001.0,2003,QUKE,Live,0,deciduous_oak,0,38.4,None,oak
mechburn,570,0570-00105,2003,2003-06-01,post_1,0570-00105-26,Live,QUKE,43.2,24.69135802,3.619114737,2.0,1.0,0.5,2001.0,2003,QUKE,Live,0,deciduous_oak,0,43.2,Burn+Thin,oak
mechburn,570,0570-00101,2003,2003-06-01,post_1,0570-00101-4,Live,QUKE,31.2,24.69135802,1.887748119,2.0,1.0,0.5,2001.0,2003,QUKE,Live,0,deciduous_oak,0,31.2,Burn+Thin,oak
control,240,0240-00110,2003,2003-06-01,post_1,0240-00110-16,Live,QUKE,53.6,24.69135802,5.571401253,2.0,2.5,1.25,2001.0,2003,QUKE,Live,0,deciduous_oak,0,53.6,None,oak
mechburn,570,0570-00115,2003,2003-06-01,post_1,0570-00115-10,Live,QUKE,38.6,24.69135802,2.889411969,2.0,1.3000000000000045,0.6500000000000021,2001.0,2003,QUKE,Live,0,deciduous_oak,0,38.6,Burn+Thin,oak
burn,340,0340-00108,2003,2003-06-01,post_1,0340-00108-20,Live,QUKE,33.5,24.69135802,2.176328615,2.0,0.0,0.0,2001.0,2003,QUKE,Live,0,deciduous_oak,0,33.5,Burn,oak
control,240,0240-00109,2003,2003-06-01,post_1,0240-00109-17,Live,QUKE,47.5,24.69135802,4.375443472,2.0,0.0,0.0,2001.0,2003,QUKE,Live,0,deciduous_oak,0,47.5,None,oak
burn,60,0060-00103,2003,2003-06-01,post_1,0060-00103-7,Live,QUKE,55.4,24.69135802,5.95188303,2.0,-3.3000000000000043,-1.650000000000002,2001.0,2003,QUKE,Live,0,deciduous_oak,0,55.4,Burn,oak
control,40,0040-00116,2003,2003-06-01,post_1,0040-00116-10,Live,QUKE,55.9,24.69135802,6.059802555,2.0,1.2999999999999972,0.6499999999999986,2001.0,2003,QUKE,Live,0,deciduous_oak,0,55.9,None,oak
mech,190,0190-00024,2003,2003-06-01,post_1,0190-00024-11,Live,QUKE,87.1,24.69135802,14.71198143,2.0,2.799999999999997,1.3999999999999986,2001.0,2003,QUKE,Live,0,deciduous_oak,0,87.1,Thin,oak
mechburn,570,0570-00017,2003,2003-06-01,post_1,0570-00017-21,Snag,QUKE,138.4,24.69135802,37.14557097,2.0,2.5,1.25,2001.0,2003,QUKE,Snag,0,deciduous_oak,0,138.4,Burn+Thin,oak
mechburn,570,0570-00025,2003,2003-06-01,post_1,0570-00025-20,Live,QUKE,47.0,24.69135802,4.283813686,2.0,0.7999999999999972,0.3999999999999986,2001.0,2003,QUKE,Live,0,deciduous_oak,0,47.0,Burn+Thin,oak
control,40,0040-00108,2003,2003-06-01,post_1,0040-00108-9,Live,QUKE,14.7,24.69135802,0.419053553,2.0,0.1999999999999993,0.0999999999999996,2001.0,2003,QUKE,Live,0,deciduous_oak,0,14.7,None,oak
control,40,0040-00109,2003,2003-06-01,post_1,0040-00109-3,Snag,QUKE,25.4,24.69135802,1.251129578,2.0,0.7999999999999972,0.3999999999999986,2001.0,2003,QUKE,Snag,0,deciduous_oak,0,25.4,None,oak
control,40,0040-00101,2003,2003-06-01,post_1,0040-00101-6,Live,QUKE,47.5,24.69135802,4.375443472,2.0,0.0,0.0,2001.0,2003,QUKE,Live,0,deciduous_oak,0,47.5,None,oak
control,590,0590-00009,2003,2003-06-01,post_1,0590-00009-35,Live,QUKE,33.0,24.69135802,2.111848395,2.0,0.7000000000000028,0.3500000000000014,2001.0,2003,QUKE,Live,0,deciduous_oak,0,33.0,None,oak
mechburn,570,0570-00111,2003,2003-06-01,post_1,0570-00111-11,Live,QUKE,36.1,24.69135802,2.527256149,2.0,1.8000000000000045,0.9000000000000021,2001.0,2003,QUKE,Live,0,deciduous_oak,0,36.1,Burn+Thin,oak
mechburn,570,0570-00102,2003,2003-06-01,post_1,0570-00102-7,Snag,QUKE,36.3,24.69135802,2.555336558,2.0,0.1999999999999957,0.0999999999999978,2001.0,2003,QUKE,Snag,0,deciduous_oak,0,36.3,Burn+Thin,oak
