Unit,Treatment,DBH_timeframe,Year,Size_class,TPH
bn3,Burn,DBH_2008,2008.0,90,12.5
bn3,Burn,DBH_2008,2008.0,100,6.5
bn3,Burn,DBH_2008,2008.0,227.2,13.75
bn3,Burn,DBH_2PostRX,2019.0,20,26.25
bn3,Burn,DBH_2PostRX,2019.0,30,31.0
bn3,Burn,DBH_2PostRX,2019.0,40,19.0
bn3,Burn,DBH_2PostRX,2019.0,50,14.0
bn3,Burn,DBH_2PostRX,2019.0,60,18.25
bn3,Burn,DBH_2PostRX,2019.0,70,10.75
bn3,Burn,DBH_2PostRX,2019.0,80,7.5
bn3,Burn,DBH_2PostRX,2019.0,90,9.25
bn3,Burn,DBH_2PostRX,2019.0,100,4.0
bn3,Burn,DBH_2PostRX,2019.0,227.2,10.5
bn3,Burn,DBH_Post,2003.0,20,26.75
bn3,Burn,DBH_Post,2003.0,30,28.75
bn3,Burn,DBH_Post,2003.0,40,27.5
bn3,Burn,DBH_Post,2003.0,50,23.5
bn3,Burn,DBH_Post,2003.0,60,18.0
bn3,Burn,DBH_Post,2003.0,70,13.5
bn3,Burn,DBH_Post,2003.0,80,14.75
bn3,Burn,DBH_Post,2003.0,90,11.25
bn3,Burn,DBH_Post,2003.0,100,7.0
bn3,Burn,DBH_Post,2003.0,227.2,15.5
bn3,Burn,DBH_Pre,2001.0,20,30.5
bn3,Burn,DBH_Pre,2001.0,30,32.5
bn3,Burn,DBH_Pre,2001.0,40,28.75
bn3,Burn,DBH_Pre,2001.0,50,24.25
bn3,Burn,DBH_Pre,2001.0,60,18.5
bn3,Burn,DBH_Pre,2001.0,70,14.0
bn3,Burn,DBH_Pre,2001.0,80,15.25
bn3,Burn,DBH_Pre,2001.0,90,10.25
bn3,Burn,DBH_Pre,2001.0,100,7.25
bn3,Burn,DBH_Pre,2001.0,227.2,16.5
uc1,Thin,DBH_10Post,2011.0,20,36.5
uc1,Thin,DBH_10Post,2011.0,30,39.5
uc1,Thin,DBH_10Post,2011.0,40,12.25
uc1,Thin,DBH_10Post,2011.0,50,2.5
uc1,Thin,DBH_10Post,2011.0,60,1.5
uc1,Thin,DBH_10Post,2011.0,70,0.75
uc1,Thin,DBH_10Post,2011.0,80,2.5
uc1,Thin,DBH_10Post,2011.0,90,7.0
uc1,Thin,DBH_10Post,2011.0,100,6.0
uc1,Thin,DBH_10Post,2011.0,227.2,27.75
uc1,Thin,DBH_15Post,2019.0,20,29.75
uc1,Thin,DBH_15Post,2019.0,30,42.0
uc1,Thin,DBH_15Post,2019.0,40,16.5
uc1,Thin,DBH_15Post,2019.0,50,5.0
uc1,Thin,DBH_15Post,2019.0,60,1.5
uc1,Thin,DBH_15Post,2019.0,70,0.75
uc1,Thin,DBH_15Post,2019.0,80,1.5
uc1,Thin,DBH_15Post,2019.0,90,4.5
uc1,Thin,DBH_15Post,2019.0,100,5.0
uc1,Thin,DBH_15Post,2019.0,227.2,20.25
uc1,Thin,DBH_2008,2008.0,20,0.0
uc1,Thin,DBH_2008,2008.0,30,0.0
uc1,Thin,DBH_2008,2008.0,40,0.0
uc1,Thin,DBH_2008,2008.0,50,0.0
uc1,Thin,DBH_2008,2008.0,60,0.0
uc1,Thin,DBH_2008,2008.0,70,0.0
uc1,Thin,DBH_2008,2008.0,80,0.75
uc1,Thin,DBH_2008,2008.0,90,6.25
uc1,Thin,DBH_2008,2008.0,100,7.25
uc1,Thin,DBH_2008,2008.0,227.2,24.0
uc1,Thin,DBH_Post,2003.0,20,30.25
uc1,Thin,DBH_Post,2003.0,30,29.25
uc1,Thin,DBH_Post,2003.0,40,3.0
uc1,Thin,DBH_Post,2003.0,50,2.0
uc1,Thin,DBH_Post,2003.0,60,1.0
uc1,Thin,DBH_Post,2003.0,70,0.5
uc1,Thin,DBH_Post,2003.0,80,4.5
uc1,Thin,DBH_Post,2003.0,90,7.25
uc1,Thin,DBH_Post,2003.0,100,8.0
uc1,Thin,DBH_Post,2003.0,227.2,24.5
uc1,Thin,DBH_Pre,1999.0,20,45.25
uc1,Thin,DBH_Pre,1999.0,30,51.5
uc1,Thin,DBH_Pre,1999.0,40,33.75
uc1,Thin,DBH_Pre,1999.0,50,18.0
uc1,Thin,DBH_Pre,1999.0,60,14.0
uc1,Thin,DBH_Pre,1999.0,70,10.75
