Unit,Treatment,DBH_timeframe,Year,PFT,BAperTree_m2ha
uc2,Thin,DBH_10Post,2011.0,unknown,0.0
uc2,Thin,DBH_15Post,2018.0,cedar,13.398439885519268
uc2,Thin,DBH_15Post,2018.0,fir,8.67318176352823
uc2,Thin,DBH_15Post,2018.0,oak,0.0
uc2,Thin,DBH_15Post,2018.0,other_hardwood,0.0
uc2,Thin,DBH_15Post,2018.0,pine,11.227250056055551
uc2,Thin,DBH_15Post,2018.0,unknown,0.0
uc2,Thin,DBH_2008,2008.0,cedar,10.065087165247927
uc2,Thin,DBH_2008,2008.0,fir,9.84183147014543
uc2,Thin,DBH_2008,2008.0,oak,0.0
uc2,Thin,DBH_2008,2008.0,other_hardwood,0.0
uc2,Thin,DBH_2008,2008.0,pine,13.09839599230241
uc2,Thin,DBH_2008,2008.0,unknown,0.0
uc2,Thin,DBH_Post,2004.0,cedar,10.280331618762764
uc2,Thin,DBH_Post,2004.0,fir,11.924815375694395
uc2,Thin,DBH_Post,2004.0,oak,0.0
uc2,Thin,DBH_Post,2004.0,other_hardwood,0.0
uc2,Thin,DBH_Post,2004.0,pine,12.966078785617595
uc2,Thin,DBH_Post,2004.0,unknown,0.0
uc2,Thin,DBH_Pre,2000.0,cedar,13.344392121856451
uc2,Thin,DBH_Pre,2000.0,fir,32.90098015979657
uc2,Thin,DBH_Pre,2000.0,oak,0.0
uc2,Thin,DBH_Pre,2000.0,other_hardwood,0.0
uc2,Thin,DBH_Pre,2000.0,pine,16.315455591917654
uc2,Thin,DBH_Pre,2000.0,unknown,0.0
uc3,Thin,DBH_10Post,2011.0,cedar,4.83346596125404
uc3,Thin,DBH_10Post,2011.0,fir,19.892379723226586
uc3,Thin,DBH_10Post,2011.0,oak,0.0
uc3,Thin,DBH_10Post,2011.0,other_hardwood,0.011903690913992576
uc3,Thin,DBH_10Post,2011.0,pine,17.919109639926905
uc3,Thin,DBH_10Post,2011.0,unknown,0.0
uc3,Thin,DBH_15Post,2018.0,cedar,5.005111391922359
uc3,Thin,DBH_15Post,2018.0,fir,10.241648992069571
uc3,Thin,DBH_15Post,2018.0,oak,0.0
uc3,Thin,DBH_15Post,2018.0,other_hardwood,0.0
uc3,Thin,DBH_15Post,2018.0,pine,11.093717838411962
uc3,Thin,DBH_15Post,2018.0,unknown,0.0
uc3,Thin,DBH_2008,2008.0,cedar,3.652263644518876
uc3,Thin,DBH_2008,2008.0,fir,12.687845122906072
uc3,Thin,DBH_2008,2008.0,oak,0.0
uc3,Thin,DBH_2008,2008.0,other_hardwood,0.0
uc3,Thin,DBH_2008,2008.0,pine,16.02625883273548
uc3,Thin,DBH_2008,2008.0,unknown,0.0
uc3,Thin,DBH_Post,2004.0,cedar,4.447109755122914
uc3,Thin,DBH_Post,2004.0,fir,18.216506937682656
uc3,Thin,DBH_Post,2004.0,oak,0.0
uc3,Thin,DBH_Post,2004.0,other_hardwood,0.0
uc3,Thin,DBH_Post,2004.0,pine,17.98159473970956
uc3,Thin,DBH_Post,2004.0,unknown,0.0
uc3,Thin,DBH_Pre,2000.0,cedar,6.8124064209804125
uc3,Thin,DBH_Pre,2000.0,fir,35.06507411320353
uc3,Thin,DBH_Pre,2000.0,oak,0.0
uc3,Thin,DBH_Pre,2000.0,other_hardwood,0.0
uc3,Thin,DBH_Pre,2000.0,pine,21.041102485999577
